conv_id,turn_id,text,harassment_level,fake_legal_threat,privacy_issue,offensive_label,comment
conv1,0,"sir nenu ABC Finance nundi call chestunna, mee gold loan EMI gurinchi maatladali",NONE,0,0,0,"polite intro"
conv1,2,"sir today due date, please before 7 pm payment chestaru ante problem undadu",NONE,0,0,0,"normal reminder"
conv1,4,"sir already three times reminder icham, next month nundi penalty interest pedataru",LOW,0,0,0,"mild pressure but not abusive"
conv2,0,"bro emi cheyadam ledu, daily call chestham appudu malli complaint anukuntaara?",LOW,0,0,0,"slightly rude tone but not harassment yet"
conv2,3,"inka ila delay chesthe company people home ki ochi matladali antey",MEDIUM,0,0,1,"indirect home-visit threat"
conv2,5,"mee neighbours mundu scene create avvakunda ippude clear cheyandi",MEDIUM,0,0,1,"humiliation pressure"
conv3,0,"hello madam, nenu collections team nundi, last month EMI miss ayyindi kabatti call chestunna",NONE,0,0,0,"polite intro"
conv3,3,"madam otp cheppandi, nenu phone lo payment complete chestha",HIGH,0,1,1,"asking for OTP = privacy violation"
conv3,4,"otp evaritho share cheyyakudadhu ani message ochindi kada, alanti request cheyyadam tappu",NONE,0,0,0,"this one is actually correct education (non-offensive)"
conv4,0,"inka emi excuse matladakunda today ne payment cheyyali, leka pothe nenu police complaint pettestha",HIGH,1,0,1,"fake legal threat"
conv4,2,"court case padithe jail kosam ready undali, naa degara recording undi",HIGH,1,0,1,"strong fake threat, clearly offensive"
conv5,0,"sir tension padakandi, emi ayina nenu explain chestha, installment plan petti slow ga clear cheyyachu",NONE,0,0,0,"reassuring, non offensive"
conv5,2,"meeru ippudu pay cheyyalekapothe ok, kani talk rude ga cheyyakandi please",LOW,0,0,0,"soft boundary setting, not harassment"
conv6,0,"nee mind lo emi undaado telidu kani idi loan, nee daddy pocket money kaadu",MEDIUM,0,0,1,"humiliating comparison, offensive"
conv6,3,"inkoka sari emi gattiga maatladithe call cut chesi block chestham, malli loan dorakadu",MEDIUM,0,0,1,"threat about future credit access"
conv7,0,"ra bhayya emi comedy chesthunav, emi EMI ante chesina chatti ledu",MEDIUM,0,0,1,"disrespectful, mocking tone"
conv7,2,"nee amma lanja kodaka emi loan tiskoni emi danger create chesav",HIGH,0,0,1,"explicit abuse/slur"
conv8,0,"sir app lo amount and due date clear ga chupistundi, memu formal ga remind chesthunna",NONE,0,0,0,"clean"
conv8,2,"call disturb ayite sorry, mi convenient time cheppandi schedule chestha",NONE,0,0,0,"very polite"
conv9,0,"meeru naku phone cut chesthe nenu mee office ki directly vastha, andar mundu cheptha",MEDIUM,0,0,1,"office humiliation threat"
conv9,3,"sare sir, nenu aggressive ayyaanu, sorry, mana madhya matladukundam",LOW,0,0,0,"apology, tone softened"
conv10,0,"night 10 clock varaku call chestha, emi rule undi ante cheppu",HIGH,0,0,1,"timing harassment against RBI norms"
conv10,2,"idhe style lo matladithe nenu meeku dorakakunda chestha future loan",MEDIUM,0,0,1,"threatening future credit"
